unit_id,airline_sentiment,airline,text
681461219,negative,US Airways,@USAirways how do you lose a pilot????
681456721,negative,Southwest,@SouthwestAir me not to be able to rebook another flight. Drove to ATL to catch a flight.... Was charged $40 just to get the a group I had
681456826,negative,Southwest,"@SouthwestAir she's still stranded in DC. Sat until 3:30am with 100 other kids. They were starving, and exhausted."
681677708,negative,American,Why doesn't @AmericanAir allow for conversations between upset customers and their customer service?  #worstcustomerserviceever
681460774,negative,US Airways,@USAirways Your system is affected by the weather?
681454401,negative,Southwest,@SouthwestAir where your airline people screwed up our boarding passes on the way back from puerto Vallarta. This is horrible and we are
681679310,negative,American,@AmericanAir Hi AA friends! My sis's flight AA362 DFW&gt;&gt;MKE was Cancelled Flighted due to weather. Any way you can help here? What are her options?
681458955,negative,Delta,@JetBlue bags hv been posted on board for flight424 on carsl 4. Now switched to carsl 5. It's comedic watching passengers run frm 1 to othr
681462253,negative,US Airways,@USAirways is the worst!! Still haven't left.. Everyone missing connections.
681454046,negative,United,"@united On top of this, a CSR went ahead and hung up on me after I called United to discuss this."
681451505,negative,United,@united sucks.
681461915,negative,US Airways,@USAirways you call this a window seat? #airbus321seat14Fproblems http://t.co/ZKOE6clGiU
681452950,negative,United,@united would be hard to be worse than last time but I'm sure you'll give it a shot
681462387,negative,US Airways,@USAirways please secure the 'footrest' shelf' in business class on A330 airplanes!!! http://t.co/ZL4bVEXmcJ
681459166,negative,Delta,"@JetBlue I called jet blue to get an explanation, and make sure it would not happen in the future. I was told to write the fraud dept."
681462267,negative,US Airways,@USAirways been at DCA at 5 pm still here at 3 am due to mechanical issues and lack of snacks on the plane! Absolutely worse experience!
681458564,negative,Delta,@JetBlue got it wish they would communicate more w us
681462958,negative,US Airways,@USAirways freaking out about the fact you are fixing the engine from Charlotte to Orlando. #longday
681678706,negative,American,"@AmericanAir 3days and no call,bag or anyone to pick up my call. Held on ph til 130 am and holding again now. Insane,#help"
681462104,negative,US Airways,@USAirways Merging AA and DividendMiles yield an error. What are the _exact_ steps to navigate the phone menu? All I get is a computer.
681677845,negative,American,@AmericanAir we have posted your response on facebook for everyone to see people are appalled by your lack of concern
681460530,negative,US Airways,@USAirways I have a receipt but no conf # for a Thur flight. When I call for help I was literally hung up on b/c of wait times. Help!
681456921,negative,Southwest,@SouthwestAir I will.make sure to tell everyone I know about this all around horrible experience. I will also post it on my business page.
681449734,negative,United,@united pedophile airline. Split myself and my 10 yr old daughter rows apart on flight 1254 to boston
681449224,negative,United,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!"
681463175,negative,US Airways,"@USAirways we are on the 2pm flight FLL to PHL and then connection to MAN. However, with the delays we might miss it. Can we go earlier?"
681453815,negative,United,"@united its ridic you cant transfer credit, you have my $400 &amp; youre taking $200 of it for Cancelled Flightling. Atleast let me keep the credit damn"
681454773,negative,Southwest,@SouthwestAir - really?  All other carriers are staffed and you've got a triple looped one and no employees in sight in OKC
